joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.153656,-0.0750311,1.03607,1,0.651642,0.00456951,3.10834e-05,0,
0,0,0.153656,-3.10834e-05,1.02732,1,1,0.00456951,3.10834e-05,0,
0,0,0.153656,0.0749689,1.03545,1,0.628348,0.00456951,3.10834e-05,0,
0,0,0.153656,0.149969,1.06007,1,0.634175,0.00456951,3.10834e-05,0,
0,0,0.153656,0.224969,1.10011,1,0.636117,0.00456951,3.10834e-05,0,
0,0,0.153656,0.299969,1.15375,1,0.628352,0.00456951,3.10834e-05,0,
0,0,0.00520767,-3.56453e-05,1.73581,1,1,0.00650959,3.56453e-05,0,
0,0,0,0,1.76081,1,1,0.00650959,3.56453e-05,0,
0,0,0.00520767,-0.300036,1.75794,1,0.171646,0.00650959,3.56453e-05,0,
0,0,0.00520767,-0.225036,1.75543,1,0.30886,0.00650959,3.56453e-05,0,
0,0,0.00520767,-0.150036,1.74838,1,0.663288,0.00650959,3.56453e-05,0,
0,0,0.00520767,-0.0750356,1.73933,1,0.686566,0.00650959,3.56453e-05,0,
0,0,0.00520767,-3.56453e-05,1.73581,1,1,0.00650959,3.56453e-05,0,
0,0,0.00520767,0.0749644,1.73788,1,0.59339,0.00650959,3.56453e-05,0,
0,0,0.00520767,0.149964,1.74549,1,0.616701,0.00650959,3.56453e-05,0,
0,0,0.00520767,0.224964,1.75325,1,0.331135,0.00650959,3.56453e-05,0,
0,0,0.00520767,0.299964,1.75627,1,0.201685,0.00650959,3.56453e-05,0,
0,0,0.0552077,-0.300036,1.56917,1,0.651646,0.00650959,3.56453e-05,0,
0,0,0.0552077,-0.225036,1.53823,1,0.655527,0.00650959,3.56453e-05,0,
0,0,0.0552077,-0.150036,1.5154,1,0.663288,0.00650959,3.56453e-05,0,
0,0,0.0552077,-0.0750356,1.50117,1,0.686566,0.00650959,3.56453e-05,0,
0,0,0.0552077,-3.56453e-05,1.49582,1,1,0.00650959,3.56453e-05,0,
0,0,0.0552077,0.0749644,1.49948,1,0.59339,0.00650959,3.56453e-05,0,
0,0,0.0552077,0.149964,1.51206,1,0.616701,0.00650959,3.56453e-05,0,
0,0,0.0552077,0.224964,1.53329,1,0.624468,0.00650959,3.56453e-05,0,
0,0,0.0552077,0.299964,1.5627,1,0.622527,0.00650959,3.56453e-05,0,
0,0,0.105208,-0.300036,1.35768,1,0.651646,0.00650959,3.56453e-05,0,
0,0,0.105208,-0.225036,1.31491,1,0.655527,0.00650959,3.56453e-05,0,
0,0,0.105208,-0.150036,1.28311,1,0.663288,0.00650959,3.56453e-05,0,
0,0,0.105208,-0.0750356,1.26321,1,0.686566,0.00650959,3.56453e-05,0,
0,0,0.105208,-3.56453e-05,1.25583,1,1,0.00650959,3.56453e-05,0,
0,0,0.105208,0.0749644,1.26121,1,0.59339,0.00650959,3.56453e-05,0,
0,0,0.105208,0.149964,1.27916,1,0.616701,0.00650959,3.56453e-05,0,
0,0,0.105208,0.224964,1.30912,1,0.624468,0.00650959,3.56453e-05,0,
0,0,0.105208,0.299964,1.34993,1,0.622527,0.00650959,3.56453e-05,0,
0,0,0.155208,-0.300036,1.1493,1,0.651646,0.00650959,3.56453e-05,0,
0,0,0.155208,-0.225036,1.09373,1,0.655527,0.00650959,3.56453e-05,0,
0,0,0.155208,-0.150036,1.05196,1,0.663288,0.00650959,3.56453e-05,0,
0,0,0.155208,-0.0750356,1.02561,1,0.686566,0.00650959,3.56453e-05,0,
0,0,0.155208,-3.56453e-05,1.01585,1,1,0.00650959,3.56453e-05,0,
0,0,0.155208,0.0749644,1.02314,1,0.59339,0.00650959,3.56453e-05,0,
0,0,0.155208,0.149964,1.04713,1,0.616701,0.00650959,3.56453e-05,0,
0,0,0.155208,0.224964,1.08666,1,0.616702,0.00650959,3.56453e-05,0,
0,0,0.155208,0.299964,1.13983,1,0.622527,0.00650959,3.56453e-05,0,
0,0,0.205208,-0.300036,0.945742,1,0.64,0.00650959,3.56453e-05,0,
0,0,0.205208,-0.225036,0.876327,1,0.655527,0.00650959,3.56453e-05,0,
0,0,0.205208,-0.150036,0.822895,1,0.663288,0.00650959,3.56453e-05,0,
0,0,0.205208,-0.0750356,0.78867,1,0.686566,0.00650959,3.56453e-05,0,
0,0,0.205208,-3.56453e-05,0.775877,1,1,0.00650959,3.56453e-05,0,
0,0,0.205208,0.0749644,0.785452,1,0.59339,0.00650959,3.56453e-05,0,
0,0,0.205208,0.149964,0.816717,1,0.616701,0.00650959,3.56453e-05,0,
0,0,0.205208,0.224964,0.867062,1,0.616702,0.00650959,3.56453e-05,0,
0,0,0.205208,0.299964,0.934207,1,0.622527,0.00650959,3.56453e-05,0,
0,0,0.00275643,-7.13818e-06,1.74507,1,1,0.00344553,7.13818e-06,0,
0,0,0,0,1.7583,1,1,0.00344553,7.13818e-06,0,
0,0,0.00275643,-0.300007,1.75748,1,0.0858233,0.00344553,7.13818e-06,0,
0,0,0.00275643,-0.225007,1.75675,1,0.167764,0.00344553,7.13818e-06,0,
0,0,0.00275643,-0.150007,1.75464,1,0.38498,0.00344553,7.13818e-06,0,
0,0,0.00275643,-0.0750071,1.74814,1,0.663292,0.00344553,7.13818e-06,0,
0,0,0.00275643,-7.13818e-06,1.74507,1,1,0.00344553,7.13818e-06,0,
0,0,0.00275643,0.0749929,1.74742,1,0.616704,0.00344553,7.13818e-06,0,
0,0,0.00275643,0.149993,1.75376,1,0.388352,0.00344553,7.13818e-06,0,
0,0,0.00275643,0.224993,1.75615,1,0.178902,0.00344553,7.13818e-06,0,
0,0,0.00275643,0.299993,1.75703,1,0.100843,0.00344553,7.13818e-06,0,
0,0,0.0527564,-0.300007,1.57555,1,0.645823,0.00344553,7.13818e-06,0,
0,0,0.0527564,-0.225007,1.54552,1,0.647764,0.00344553,7.13818e-06,0,
0,0,0.0527564,-0.150007,1.52349,1,0.651646,0.00344553,7.13818e-06,0,
0,0,0.0527564,-0.0750071,1.50991,1,0.663292,0.00344553,7.13818e-06,0,
0,0,0.0527564,-7.13818e-06,1.50507,1,1,0.00344553,7.13818e-06,0,
0,0,0.0527564,0.0749929,1.50908,1,0.616704,0.00344553,7.13818e-06,0,
0,0,0.0527564,0.149993,1.52183,1,0.628352,0.00344553,7.13818e-06,0,
0,0,0.0527564,0.224993,1.54274,1,0.62447,0.00344553,7.13818e-06,0,
0,0,0.0527564,0.299993,1.57163,1,0.628353,0.00344553,7.13818e-06,0,
0,0,0.102756,-0.300007,1.36371,1,0.645823,0.00344553,7.13818e-06,0,
0,0,0.102756,-0.225007,1.32192,1,0.647764,0.00344553,7.13818e-06,0,
0,0,0.102756,-0.150007,1.29101,1,0.651646,0.00344553,7.13818e-06,0,
0,0,0.102756,-0.0750071,1.27186,1,0.663292,0.00344553,7.13818e-06,0,
0,0,0.102756,-7.13818e-06,1.26508,1,1,0.00344553,7.13818e-06,0,
0,0,0.102756,0.0749929,1.27087,1,0.616704,0.00344553,7.13818e-06,0,
0,0,0.102756,0.149993,1.28898,1,0.616705,0.00344553,7.13818e-06,0,
0,0,0.102756,0.224993,1.31852,1,0.62447,0.00344553,7.13818e-06,0,
0,0,0.102756,0.299993,1.35903,1,0.628353,0.00344553,7.13818e-06,0,
0,0,0.152756,-0.300007,1.15484,1,0.645823,0.00344553,7.13818e-06,0,
0,0,0.152756,-0.225007,1.10034,1,0.647764,0.00344553,7.13818e-06,0,
0,0,0.152756,-0.150007,1.05957,1,0.651646,0.00344553,7.13818e-06,0,
0,0,0.152756,-0.0750071,1.03411,1,0.663292,0.00344553,7.13818e-06,0,
0,0,0.152756,-7.13818e-06,1.02508,1,1,0.00344553,7.13818e-06,0,
0,0,0.152756,0.0749929,1.03289,1,0.616704,0.00344553,7.13818e-06,0,
0,0,0.152756,0.149993,1.05691,1,0.616705,0.00344553,7.13818e-06,0,
0,0,0.152756,0.224993,1.09607,1,0.62447,0.00344553,7.13818e-06,0,
0,0,0.152756,0.299993,1.14915,1,0.628353,0.00344553,7.13818e-06,0,
0,0,0.00434403,-9.66884e-06,1.73436,1,1,0.00543004,9.66884e-06,0,
0,0,0,0,1.75522,1,1,0.00543004,9.66884e-06,0,
0,0,0.00434403,-0.30001,1.75284,1,0.162912,0.00543004,9.66884e-06,0,
0,0,0.00434403,-0.22501,1.75094,1,0.270549,0.00543004,9.66884e-06,0,
0,0,0.00434403,-0.15001,1.74568,1,0.59249,0.00543004,9.66884e-06,0,
0,0,0.00434403,-0.0750097,1.73731,1,0.651645,0.00543004,9.66884e-06,0,
0,0,0.00434403,-9.66884e-06,1.73436,1,1,0.00543004,9.66884e-06,0,
0,0,0.00434403,0.0749903,1.73695,1,0.628352,0.00543004,9.66884e-06,0,
0,0,0.00434403,0.14999,1.74501,1,0.607509,0.00543004,9.66884e-06,0,
0,0,0.00434403,0.22499,1.75049,1,0.289451,0.00543004,9.66884e-06,0,
0,0,0.00434403,0.29999,1.75248,1,0.157088,0.00543004,9.66884e-06,0,
