dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,2

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
23.861,9.8618,4.59956,0,1,0.00826611,0.0111092,0.0193753,0.793387,-0.0277008,0.8,-0
24.061,10.02,4.58987,0,1,0.0113434,0.0336148,0.0449583,0.790925,-0.0838369,0.8,-0
24.262,10.178,4.57913,0,1,0.0160482,0.0213678,0.037416,0.787161,-0.0529209,0.8,-0
24.463,10.3615,4.5638,0,1,0.014167,0.0443804,0.0585474,0.788666,-0.110678,0.8,-0
24.664,10.5181,4.54863,0,1,0.0104094,0.0103649,0.0207743,0.791672,-0.0257878,0.8,-0
24.864,10.6752,4.53133,0,1,0.0190366,0.0375549,0.0565914,0.784771,-0.0930209,0.8,-0
25.064,10.8314,4.51293,0,1,0.016832,0.0358647,0.0526966,0.786534,-0.0889975,0.8,-0
25.264,10.987,4.49214,0,1,0.0170568,0.0293982,0.046455,0.786355,-0.0728327,0.8,-0
25.465,11.1161,4.47313,0,1,0.0208361,0.00754126,0.0283774,0.783331,-0.0185618,0.8,-0
25.666,11.2458,4.45273,0,1,0.0202022,0.129861,0.150064,0.783838,-0.310758,0.8,-0.800034
25.866,11.4523,4.41645,0,1,0.0226321,0.137528,0.16016,0.781894,-0.592899,0.8,-1.5
26.069,11.5783,4.38513,0,1,0.0246324,0.081323,0.105955,0.780294,-0.845282,0.8,-1.5
26.269,11.7254,4.33138,0,1,0.0270958,0.0388792,0.065975,0.778323,-1.10864,0.8,-1.5
26.469,11.8608,4.25591,0,1,0.0218952,0.0262817,0.0481769,0.782484,-0.700036,0.8,-0.604732
26.67,11.9819,4.15712,0,1,0.0330328,0.0699122,0.102945,0.773574,-0.385154,0.8,-0.197743
26.87,12.0894,4.04513,0,1,0.0354511,0.0396417,0.0750929,0.771639,-0.0965985,0.8,-0
27.071,12.1891,3.92684,0,1,0.033298,0.0115065,0.0448045,0.773362,0.0279682,0.8,-0
27.271,12.2869,3.80619,0,1,0.0312842,0.00897439,0.0402586,0.774973,0.0218553,0.8,-0
27.471,12.4011,3.66566,0,1,0.0267321,0.0031256,0.0298577,0.778614,-0.296241,0.8,-0.295418
27.672,12.4975,3.54356,0,1,0.0251077,0.140064,0.165172,0.779914,-0.581668,0.8,-1.5
27.872,12.5854,3.41456,0,1,0.0300365,0.0188963,0.0489328,0.775971,-0.8423,0.8,-0.979097
28.072,12.6461,3.30062,0,1,0.0272748,0.181895,0.20917,0.77818,-0.500372,0.8,-0
28.273,12.6931,3.17982,0,1,0.028536,0.0955082,0.124044,0.777171,-0.240448,0.8,-0
28.473,12.7433,3.00595,0,1,0.0290781,0.0089442,0.0380223,0.776738,0.0218313,0.8,-0
28.673,12.7797,2.85485,0,1,0.0287101,0.00193103,0.0306411,0.777032,0.00471394,0.8,-0
28.874,12.8161,2.70382,0,1,0.0248806,0.00190669,0.0267873,0.780096,0.00467287,0.8,-0
29.075,12.8529,2.55288,0,1,0.0339789,0.00569357,0.0396724,0.772817,0.0138248,0.8,-0
29.274,12.8894,2.40242,0,1,0.0349665,0.00211807,0.0370846,0.772027,0.00513723,0.8,-0
29.476,12.926,2.25278,0,1,0.0401154,0.170258,0.210373,0.767908,0.321914,0.8,1.07682
29.675,12.9641,2.10329,0,1,0.0404123,0.00443431,0.0448466,0.76767,-0.0106949,0.8,-0
29.876,13.0155,1.93099,0,1,0.140549,0.117636,0.258185,0.687561,0.295273,0.8,0.783843
30.076,13.0507,1.81568,0,1,0.0408559,0.147401,0.188257,0.767315,0.383109,0.8,-0
30.276,13.1082,1.65371,0,1,0.0947603,0.13886,0.23362,0.724192,0.337616,0.8,-0
