dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
25.55,12.2902,3.30414,0,1,0,1,0.0156688,0.00320459,0.0188734,0.787465,-0.0744746,0.8,-0.0675415
25.751,12.4024,3.19383,0,1,0,1,0.0206116,0.00583315,0.0264447,0.783511,-0.0517096,0.8,-0.0675415
25.949,12.5128,3.08226,0,1,0,1,0.0229899,0.202586,0.225576,0.781608,-0.349867,0.8,-1.41861
26.154,12.6388,2.95018,0,1,0,1,0.0215649,0.136323,0.157888,0.782748,-0.598224,0.8,-1.5
26.347,12.7231,2.85025,0,1,0,1,0.0205273,0.0784781,0.0990054,0.783578,-0.864211,0.8,-1.5
26.54,12.7976,2.74337,0,1,0,1,0.0219256,0.203467,0.225393,0.782459,-0.581616,0.8,-0
26.749,12.8793,2.58001,0,1,0,1,0.0102966,0.394445,0.404741,0.791763,-0.200086,0.8,1.22336
26.958,12.9335,2.43241,0,1,0,1,0.0086338,0.370592,0.379225,0.793093,-0.0663047,0.8,1.5
27.157,12.9808,2.28156,0,1,0,1,0.0108984,0.24933,0.260229,0.791281,0.242645,0.8,1.5
27.36,13.0264,2.13085,0,1,0,1,0.0235908,0.179922,0.203513,0.781127,0.382665,0.8,1.30475
27.557,13.0768,1.98174,0,1,0,1,0.0298252,0.20427,0.234095,0.77614,0.309131,0.8,1.30475
27.743,13.1358,1.83761,0,1,0,1,0.0312161,0.091624,0.12284,0.775027,0.22946,0.8,-0
27.945,13.2024,1.69772,0,1,0,1,0.0829501,0.0863923,0.169342,0.73364,0.204154,0.8,-0
28.144,13.2843,1.54361,0,1,0,1,0.176352,0.0969483,0.2733,0.658919,0.207133,0.8,-0
28.352,13.3532,1.42598,0,1,0,1,0.221584,0.0969952,0.318579,0.622733,0.195859,0.8,-0
28.58,13.4214,1.31841,0,1,0,1,0.221492,0.0667434,0.288235,0.622807,0.132539,0.8,-0
28.775,13.4912,1.21528,0,1,0,1,0.368867,0.111685,0.480552,0.504906,0.184802,0.8,-0
28.98,13.5597,1.1198,0,1,0,1,0.3598,0.42752,0.78732,0.51216,0.137482,0.8,-1.5
29.176,13.6217,1.03947,0,1,0,1,0.462096,0.437875,0.899972,0.430323,0.130661,0.8,-1.5
29.383,13.6716,0.977907,0,1,0,1,0.465915,0.407905,0.87382,0.427268,0.0868932,0.8,-1.5
29.578,13.7178,0.923468,0,1,0,1,0.514215,0.39491,0.909126,0.388628,0.0626403,0.8,-1.5
29.774,13.7814,0.851089,0,1,0,1,0.516201,0.390812,0.907012,0.38704,0.0572814,0.8,-1.5
29.979,13.8334,0.793827,0,1,0,1,0.52383,0.304985,0.828815,0.380936,-0.0469767,0.8,-1.5
30.171,13.8852,0.737853,0,1,0,1,0.573922,0.29854,0.872463,0.340862,-0.04906,0.8,-1.5
30.371,13.9349,0.683993,0,1,0,1,0.62624,0.233914,0.860154,0.299008,-0.107785,0.8,-1.5
30.566,13.9791,0.635808,0,1,0,1,0.677683,0.206732,0.884415,0.257854,-0.118685,0.8,-1.5
30.775,14.0228,0.586627,0,1,0,1,0.672144,0.242528,0.914672,0.262285,-0.0866024,0.8,-1.5
30.976,14.0512,0.553179,0,1,0,1,0.719629,0.0770663,0.796695,0.224297,-0.249593,0.8,-1.5
31.171,14.0787,0.519965,0,1,0,1,0.769066,0.114346,0.883411,0.184748,-0.162563,0.8,-1.5
31.378,14.1104,0.479375,0,1,0,1,0.771969,0.0307432,0.802712,0.182425,-0.274506,0.8,-1.5
31.57,14.1331,0.449091,0,1,0,1,0.773,0.0315119,0.804511,0.1816,-0.271839,0.8,-1.5
31.775,14.1533,0.419979,0,1,0,1,0.820618,0.00590283,0.826521,0.143506,-0.180293,0.8,-1.04425
31.972,14.1713,0.391341,0,1,0,1,0.831403,0.0192353,0.850638,0.134878,-0.138909,0.8,-0.930284
32.183,14.1876,0.36343,0,1,0,1,0,0,0,0,0,-0,-0
32.364,14.197,0.346509,0,1,0,1,0,0,0,0,0,-0,-0
32.568,14.1971,0.346377,0,1,0,1,0,0,0,0,0,-0,-0
32.77,14.1971,0.346278,0,1,0,1,0,0,0,0,0,-0,-0
32.961,14.1971,0.346243,0,1,0,1,0,0,0,0,0,-0,-0
33.16,14.1971,0.346288,0,1,0,1,0,0,0,0,0,-0,-0
33.361,14.1971,0.346332,0,1,0,1,0,0,0,0,0,-0,-0
33.561,14.1971,0.346377,0,1,0,1,0,0,0,0,0,-0,-0
33.773,14.1971,0.346413,0,1,0,1,0,0,0,0,0,-0,-0
33.972,14.197,0.346457,0,1,0,1,0,0,0,0,0,-0,-0
34.172,14.197,0.346502,0,1,0,1,0,0,0,0,0,-0,-0
