joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.49751,-0.374654,1.55863,0.553471,1,0.621888,0.24977,1.0405,
0,0,0.49751,-0.187154,1.42459,0.278379,1,0.621888,0.12477,1.01951,
0,0,0.49751,0.00034572,1.07018,0.0707103,1,0.621888,0.00023048,0.973494,
0,0,0.49751,0.187846,0.627224,0.063745,1,0.621888,0.12523,1.10113,
0,0,0.49751,0.375346,0.201035,0.058464,0.256343,0.621888,0.25023,1.7857,
0,0,0.49751,0.562846,0.00363757,0.0012521,0.00303596,0.621888,0.37523,1.99763,
0,0,0.49751,0.750346,0.0175339,0.0059867,0.0109889,0.621888,0.50023,1.99224,
0,0,-0.00251261,-0.000219676,1.59942,1,1,0.00314076,0.00014645,0.00328721,
0,0,0,0,1.6049,1,1,0,0,0,
0,0,0.122487,-0.75022,1.65898,1,0.979207,0.153109,0.500146,0.663649,
0,0,0.122487,-0.56272,1.6424,1,1,0.153109,0.375146,0.528256,
0,0,0.122487,-0.37522,1.62586,1,1,0.153109,0.250146,0.403256,
0,0,0.122487,-0.18772,1.60937,1,1,0.153109,0.125146,0.278256,
0,0,0.122487,-0.000219676,1.35454,1,1,0.153109,0.00014645,0.153256,
0,0,0.122487,0.18728,0.938631,1,1,0.153109,0.124854,0.277963,
0,0,0.122487,0.37478,0.570013,1,0.660049,0.153109,0.249854,0.657976,
0,0,0.122487,0.56228,0.269149,0.879087,0.143561,0.153109,0.374854,1.16576,
0,0,0.122487,0.74978,0.132357,0.525431,0.0205553,0.153109,0.499854,1.54474,
0,0,0.247487,-0.75022,1.64753,1,0.979207,0.309359,0.500146,0.819899,
0,0,0.247487,-0.56272,1.63082,1,1,0.309359,0.375146,0.684506,
0,0,0.247487,-0.37522,1.61416,1,1,0.309359,0.250146,0.559506,
0,0,0.247487,-0.18772,1.55964,1,1,0.309359,0.125146,0.434506,
0,0,0.247487,-0.000219676,1.20496,0.355293,1,0.309359,0.00014645,0.754767,
0,0,0.247487,0.18728,0.770788,0.319922,1,0.309359,0.124854,0.903902,
0,0,0.247487,0.37478,0.359199,0.184926,0.463392,0.309359,0.249854,1.52467,
0,0,0.247487,0.56228,0.0120174,0.0183043,0.0070205,0.309359,0.374854,1.98297,
0,0,0.247487,0.74978,0.00632176,0.0119711,0.00146923,0.309359,0.499854,1.991,
0,0,0.372487,-0.75022,1.6356,1,0.921899,0.465609,0.500146,1.00479,
0,0,0.372487,-0.56272,1.61956,0.967067,1,0.465609,0.375146,0.858355,
0,0,0.372487,-0.37522,1.59473,0.972132,1,0.465609,0.250146,0.730648,
0,0,0.372487,-0.18772,1.48531,0.516848,1,0.465609,0.125146,0.848948,
0,0,0.372487,-0.000219676,1.11926,0.168301,1,0.465609,0.00014645,0.910208,
0,0,0.372487,0.18728,0.678619,0.100199,1,0.465609,0.124854,1.07131,
0,0,0.372487,0.37478,0.254538,0.0704458,0.332287,0.465609,0.249854,1.71309,
0,0,0.372487,0.56228,0.0194467,0.016978,0.0131353,0.465609,0.374854,1.98272,
0,0,0.372487,0.74978,0.00318511,0.00368013,0.00108116,0.465609,0.499854,1.99749,
0,0,0.497487,-0.75022,1.62241,0.852113,0.921899,0.621859,0.500146,1.21697,
0,0,0.497487,-0.56272,1.60596,0.752441,1,0.621859,0.375146,1.09062,
0,0,0.497487,-0.37522,1.55885,0.553519,1,0.621859,0.250146,1.04084,
0,0,0.497487,-0.18772,1.42522,0.278489,1,0.621859,0.125146,1.01984,
0,0,0.497487,-0.000219676,1.07154,0.0708237,1,0.621859,0.00014645,0.973365,
0,0,0.497487,0.18728,0.628537,0.0633758,1,0.621859,0.124854,1.10089,
0,0,0.497487,0.37478,0.202106,0.0576624,0.25854,0.621859,0.249854,1.78425,
0,0,0.497487,0.56228,0.00462921,0.000476229,0.00409484,0.621859,0.374854,1.99726,
0,0,0.497487,0.74978,0.0168289,0.00651632,0.0103562,0.621859,0.499854,1.99236,
0,0,-0.00251712,-0.000267751,1.59951,1,1,0.0031464,0.0001785,0.0033249,
0,0,0,0,1.6049,1,1,0,0,0,
0,0,0.122483,-0.750268,1.65899,1,0.979148,0.153104,0.500179,0.663704,
0,0,0.122483,-0.562768,1.6424,1,1,0.153104,0.375179,0.528282,
0,0,0.122483,-0.375268,1.62586,1,1,0.153104,0.250179,0.403282,
0,0,0.122483,-0.187768,1.60937,1,1,0.153104,0.125179,0.278282,
0,0,0.122483,-0.000267751,1.35466,1,1,0.153104,0.0001785,0.153282,
0,0,0.122483,0.187232,0.938741,1,1,0.153104,0.124821,0.277925,
0,0,0.122483,0.374732,0.570114,1,0.660287,0.153104,0.249821,0.65777,
0,0,0.122483,0.562232,0.269211,0.87908,0.143676,0.153104,0.374821,1.16569,
0,0,0.122483,0.749732,0.132367,0.525381,0.0206336,0.153104,0.499821,1.54474,
0,0,0.247483,-0.750268,1.64754,1,0.979148,0.309354,0.500179,0.819954,
0,0,0.247483,-0.562768,1.63083,1,1,0.309354,0.375179,0.684532,
0,0,0.247483,-0.375268,1.61417,1,1,0.309354,0.250179,0.559532,
0,0,0.247483,-0.187768,1.55968,1,1,0.309354,0.125179,0.434532,
0,0,0.247483,-0.000267751,1.20508,0.355343,1,0.309354,0.0001785,0.754762,
0,0,0.247483,0.187232,0.770901,0.31993,1,0.309354,0.124821,0.903863,
0,0,0.247483,0.374732,0.359305,0.184891,0.463605,0.309354,0.249821,1.52452,
0,0,0.247483,0.562232,0.0120669,0.018233,0.00712371,0.309354,0.374821,1.98295,
0,0,0.247483,0.749732,0.00631608,0.0120331,0.001402,0.309354,0.499821,1.99099,
0,0,0.372483,-0.750268,1.6356,1,0.921844,0.465604,0.500179,1.00485,
