CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0.0461017,0.150063,1.54979,1,0.628358,0.00487289,0.477485,
0.0461017,0.225063,1.56995,1,0.632238,0.00487289,0.477485,
0.0461017,0.300063,1.59777,1,0.634178,0.00487289,0.477485,
0.0961017,-0.299937,1.38874,1,0.645825,0.00487289,0.477485,
0.0961017,-0.224937,1.34852,1,0.647767,0.00487289,0.477485,
0.0961017,-0.149937,1.3188,1,0.651652,0.00487289,0.477485,
0.0961017,-0.0749371,1.30042,1,0.663313,0.00487289,0.477485,
0.0961017,6.28706e-05,1.29391,1,1,0.00487289,0.477485,
0.0961017,0.0750629,1.29947,1,0.616726,0.00487289,0.477485,
0.0961017,0.150063,1.31694,1,0.628358,0.00487289,0.477485,
0.0961017,0.225063,1.34578,1,0.632238,0.00487289,0.477485,
0.0961017,0.300063,1.38518,1,0.634178,0.00487289,0.477485,
0.146102,-0.299937,1.17942,1,0.645825,0.00487289,0.477485,
0.146102,-0.224937,1.12663,1,0.647767,0.00487289,0.477485,
0.146102,-0.149937,1.0872,1,0.651652,0.00487289,0.477485,
0.146102,-0.0749371,1.06262,1,0.663313,0.00487289,0.477485,
0.146102,6.28706e-05,1.05391,1,1,0.00487289,0.477485,
0.146102,0.0750629,1.06146,1,0.616726,0.00487289,0.477485,
0.146102,0.150063,1.08494,1,0.628358,0.00487289,0.477485,
0.146102,0.225063,1.12335,1,0.632238,0.00487289,0.477485,
0.146102,0.300063,1.17525,1,0.634178,0.00487289,0.477485,
0.196102,-0.299937,0.974734,1,0.645825,0.00487289,0.477485,
0.196102,-0.224937,0.908028,1,0.647767,0.00487289,0.477485,
0.196102,-0.149937,0.857366,1,0.651652,0.00487289,0.477485,
0.196102,-0.0749371,0.825346,1,0.663313,0.00487289,0.477485,
0.196102,6.28706e-05,0.81392,1,1,0.00487289,0.477485,
0.196102,0.0750629,0.823856,1,0.616726,0.00487289,0.477485,
