dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
38.905,0.171966,-0.0496783,0,1,0.0360938,0.00257388,0.0386677,0.028875,-0.791948
39.107,0.167598,-0.0441854,0,1,0.0386963,0.00149631,0.0401926,0.0309571,-0.925583
39.306,0.165018,-0.0396086,0,1,0.0373275,0.00274715,0.0400747,0.029862,-0.922627
39.509,0.162546,-0.0332121,0,1,0.752085,0.395593,1.14768,0.198332,-0.582823
39.708,0.159628,-0.017669,0,1,0.550107,0.311079,0.861186,0.359914,-0.533478
39.91,0.156768,0.0245762,0.315572,0.684428,0.377591,0.262295,0.753528,0.497927,-0.53796
40.11,0.163664,0.116195,0.421409,0.578591,0.156468,0.167091,0.608617,0.674826,-0.390811
40.31,0.188017,0.22088,0.548913,0.451087,0.0207574,0.186279,0.642304,0.783394,-0.51911
40.511,0.227953,0.329709,0.490884,0.509116,0.156616,0.198776,0.67182,0.674707,-0.486251
40.711,0.292225,0.458995,0.544269,0.455731,0.111312,0.0910479,0.636491,0.71095,-0.209091
40.912,0.365012,0.577792,0.489635,0.510365,0.220836,0.00147064,0.603093,0.623331,-0.0028799
41.112,0.441222,0.688264,0.501948,0.498052,0.118167,0.125097,0.623107,0.705466,0.292467
41.312,0.518943,0.794408,0.378383,0.621617,0.0335782,0.137888,0.484969,0.773137,0.357564
41.513,0.616026,0.937852,0.421214,0.578786,0.290316,0.199827,0.704902,0.567747,0.41202
41.713,0.685706,1.05492,1,0,0.262302,0.113923,1,0.590158,0.220724
41.914,0.732008,1.14103,1,0,0.263441,0.1018,1,0.589247,0.195149
42.115,0.75036,1.21664,1,0,0.705082,0.424629,1,0.235934,-0.977709
42.315,0.744885,1.23237,1,0,0.720135,0.462133,1,0.223892,1.87316
42.517,0.74638,1.23537,0.886685,0.113315,0.803447,0.180681,0.998201,0.157242,0.100261
42.717,0.750073,1.24862,0.326699,0.673301,0.0266831,0.00671668,0.349188,0.0213465,-0.0211011
42.918,0.749482,1.2479,0.347253,0.652747,0.0301461,0.00525005,0.370357,0.0241169,-0.0164935
43.12,0.749257,1.24731,0.363032,0.636968,0.0329481,0.474706,0.686392,0.0263585,0.00866638
43.319,0.748851,1.24757,0.361871,0.638129,0.00758883,0.46496,0.663418,-0.00607106,0.0392851
43.52,0.74565,1.24192,-0.785361,1.78536,0.225041,0.0588993,-0.278425,-0.180033,-0.185038
43.72,0.743722,1.23875,-0.142925,1.14293,0.0051069,0.00379949,-0.132746,-0.00408552,-0.0119364
43.921,0.743571,1.2378,1,0,1,3.14159,1,0,0
44.121,0.73488,1.22293,0.0921027,0.907897,1.00212,0.498004,1.45406,0.00169658,-0.270515
44.325,0.698398,1.17197,-1.31255,2.31255,0.41319,1.29034,2.62696,-0.400008,-0.516837
44.525,0.630875,1.09552,0,1,0.776789,0.16912,0.945909,-0.621431,-0.531306
44.727,0.538699,1.00796,0,1,0.776132,0.162069,0.938201,-0.620905,-0.509156
44.929,0.458344,0.943916,0,1,0.77557,0.618378,1.39395,-0.620456,-0.442693
45.128,0.319497,0.852853,0,1,0.774632,0.603016,1.37765,-0.619705,-0.394432
45.33,0.210202,0.794473,0,1,0.772435,0.593182,1.36562,-0.617948,-0.363537
45.53,0.116181,0.751734,0,1,0.775265,0.586626,1.36189,-0.620212,-0.342939
45.731,0.000531035,0.707308,0,1,0.773591,0.0991828,0.872774,-0.618873,-0.311592
45.931,-0.117214,0.670067,0,1,0,0,0,0,0
46.131,-0.228739,0.642288,0,1,0.620046,0.152049,0.772095,-0.496037,-0.477676
46.332,-0.265987,0.634505,0,1,0,0,0,0,0
46.533,-0.26465,0.635056,0,1,0,0,0,0,0
46.733,-0.263567,0.634837,0,1,0,0,0,0,0
46.934,-0.262347,0.634399,0,1,0.00717883,0.379513,0.386691,0.00574306,0.307726
47.134,-0.261306,0.634632,0,1,0.00793526,0.359923,0.367859,0.00634821,0.369267
47.335,-0.260425,0.634774,0,1,0.0115137,0.382163,0.393677,0.00921095,0.299399
47.538,-0.25913,0.634963,0,1,0.00573484,0.367678,0.373413,0.00458787,0.344904
47.739,-0.258048,0.635166,0,1,0.00405019,0.342894,0.346944,0.00324016,0.422766
47.943,-0.257269,0.635301,0,1,0.021626,0.381064,0.40269,0.0173008,0.302853
48.141,-0.25613,0.635515,0,1,0.00627656,0.341944,0.34822,0.00502125,0.425753
48.341,-0.254952,0.635781,0,1,0.0479126,0.378718,0.426631,0.03833,0.310222
48.542,-0.254435,0.635774,0,1,0.00132039,0.37837,0.37969,0.00105631,0.311316
48.742,-0.252345,0.636304,0,1,0.0154802,0.37314,0.38862,0.0123842,0.327745
48.942,-0.25025,0.636825,0,1,0.0309656,0.352086,0.383052,0.0247725,0.393889
49.143,-0.246926,0.63776,0,1,0.0202859,0.318259,0.338545,0.0162287,0.500161
49.344,-0.243097,0.639068,0,1,0.0410044,0.0120816,0.053086,0.0328035,0.0379556
49.546,-0.237814,0.640832,0,1,0.456156,0.0334138,0.48957,0.192032,-0.0202325
49.748,-0.2314,0.642948,0.226501,0.773499,0.628055,0.134444,0.816294,0.297556,-0.133727
49.948,-0.185552,0.654757,0.382512,0.617488,0.37816,0.00264956,0.617657,0.497472,-0.00414097
50.151,-0.130876,0.665612,0.479515,0.520485,0.252714,0.179166,0.704302,0.597829,-0.149671
