dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,3

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
33.332,0.61733,2.06738,0,1,0,1,1,0,1,0,0
33.536,0.617385,2.06732,0,1,0,1,1,0,1,0,0
33.735,0.617229,2.06747,0,1,0,1,0.897997,0.373484,1.27148,0,-0.28867
33.936,0.618699,2.06608,0,1,0,1,0.869001,0.744217,1.61322,0,-0.383674
34.139,0.6228,2.06212,0,1,0,1,0.859798,0.7234,1.5832,0,-0.414901
34.34,0.625108,2.05988,0,1,0,1,0.789536,0.588234,1.37777,0,-0.617648
34.54,0.626377,2.05843,0,1,0,1,0.794285,0.414199,1.20848,0,-0.878702
34.744,0.627227,2.05718,0,1,0,1,0.794102,0.259168,1.05327,0,-1.11125
34.942,0.627839,2.0558,0,1,0,1,0.810785,0.180815,0.9916,0,-0.745705
35.148,0.628077,2.05475,0,1,0,1,0.801395,0.293394,1.09479,0,-0.440091
35.356,0.628142,2.0546,0,1,0,1,0.815703,0.00515988,0.820863,0.147438,-0.00773982
35.577,0.628341,2.04991,0,1,0,1,0.619286,0.00779485,0.627081,0.304571,0.0116923
35.789,0.629442,2.01617,0,1,0,1,0.464195,0.00761473,0.47181,0.428644,-0.0114221
35.977,0.630654,1.95184,0,1,0,1,0.24644,0.000139756,0.24658,0.602848,0.000209634
36.183,0.631268,1.87856,0,1,0,1,0.185121,0.0183408,0.203462,0.651903,-0.0275111
36.366,0.631929,1.76162,0,1,0,1,0.238481,0.0124785,0.250959,0.609215,0.0187178
36.568,0.632264,1.61296,0,1,0,1,0.283943,0.00767061,0.291614,0.572845,-0.0115059
36.765,0.632292,1.4941,0,1,0,1,0.334242,0.00812105,0.342363,0.532606,-0.0121816
36.967,0.631904,1.38458,0,1,0,1,0.386804,0.00348832,0.390293,0.490557,-0.00523249
37.168,0.63134,1.28177,0,1,0,1,0.435535,0.0047614,0.440297,0.451572,-0.00714211
37.369,0.630759,1.18705,0,1,0,1,0.493094,0.00559536,0.498689,0.405525,0.00839304
37.573,0.630116,1.10061,0,1,0,1,0.496719,0.0281044,0.524824,0.402625,-0.0421567
37.771,0.629398,1.01987,0,1,0,1,0.544204,0.017151,0.561355,0.364637,0.0257265
37.968,0.628307,0.942325,0,1,0,1,0.597006,0.0197876,0.616794,0.322395,-0.0296813
38.167,0.627469,0.884553,0,1,0,1,0.608269,0.0150428,0.623312,0.313384,-0.0225642
38.368,0.626054,0.821083,0,1,0,1,0.656148,0.0141263,0.670274,0.275082,-0.0211894
38.565,0.624509,0.761185,0,1,0,1,0.607005,0.80885,1.41585,0,0.286725
38.765,0.623188,0.712504,0,1,0,1,0.633756,0.818531,1.45229,0,0.272203
38.947,0.622761,0.699313,0,1,0,1,0.802513,0.664406,1.46692,0,0.503391
39.153,0.622802,0.697885,0,1,0,1,0.802671,0.645291,1.44796,0,0.532063
39.353,0.622818,0.697944,0,1,0,1,0.952454,0.538363,1.49082,0,0.692455
39.559,0.623101,0.696438,0,1,0,1,0.797919,0.234128,1.03205,0,0.351193
39.76,0.62351,0.695072,0,1,0,1,0.802672,0.0197937,0.822466,0.157863,0.0296906
39.977,0.628847,0.680535,0,1,0,1,0.655604,0.0171926,0.672797,0.275517,0.0257889
40.183,0.639758,0.651648,0,1,0,1,0.652175,0.00538079,0.657556,0.27826,0.00807118
40.38,0.659547,0.60095,0,1,0,1,0.699424,0.0083337,0.707758,0.240461,-0.0125005
40.577,0.681904,0.544603,0,1,0,1,0.701066,0.0370982,0.738164,0.239147,0.0556474
40.777,0.699726,0.500003,0,1,0,1,0.750648,0.00403343,0.754681,0.199482,-0.00605014
40.978,0.715888,0.460524,0,1,0,1,0.748771,0.00408322,0.752854,0.200984,-0.00612484
41.171,0.731036,0.423591,0,1,0,1,0.749611,0.0417929,0.791404,0.200311,0.0626893
41.377,0.745916,0.387799,0,1,0,1,0.80322,0.0118049,0.815024,0.157424,0.0177074
41.571,0.760303,0.354963,0,1,0,1,0.804671,0.00610696,0.810778,0.156263,0.00916044
41.769,0.773172,0.326041,0,1,0,1,0.705251,0.795845,1.5011,0,0.306233
41.961,0.782277,0.3058,0,1,0,1,0.754394,0.753178,1.50757,0,0.370233
42.165,0.782351,0.305709,0,1,0,1,0.799733,0.602212,1.40194,0,0.596683
42.365,0.78297,0.304728,0,1,0,1,0.799545,0.481996,1.28154,0,0.777006
42.569,0.783433,0.304215,0,1,0,1,0.796947,0.0043882,0.801335,0.162442,0.630724
42.784,0.793782,0.294172,0,1,0,1,0.551755,0.170832,0.722587,0.358596,0.256248
42.99,0.826916,0.267241,0,1,0,1,0.385333,0.177304,0.562637,0.491734,0.265956
43.192,0.886453,0.226904,0,1,0,1,0.215505,0.191543,0.407049,0.627596,0.287315
43.387,0.973462,0.17693,0,1,0,1,0.101391,0.175624,0.277015,0.718887,0.263436
43.578,1.08767,0.123731,0,1,0,1,0.0419091,0.176198,0.218107,0.766473,0.264296
43.778,1.22538,0.0711851,0,1,0,1,0.0076624,0.156848,0.16451,0.79387,0.235272
43.974,1.37356,0.0235856,0,1,0,1,0.0527255,0.145652,0.198378,0.75782,0.218479
44.172,1.49772,-0.0105209,0,1,0,1,0.0484134,0.13592,0.184334,0.761269,0.20388
44.377,1.64561,-0.0449874,0,1,0,1,0.00510928,0.140612,0.145721,0.795913,0.210918
44.575,1.79752,-0.0737134,0,1,0,1,0.00535218,0.128854,0.134206,0.795718,0.193281
44.772,1.95458,-0.0968213,0,1,0,1,0.00255056,0.0967406,0.0992911,0.80204,0.145111
44.976,2.11322,-0.114848,0,1,0,1,0.00722362,0.0513719,0.0585955,0.794221,0.0770578
45.179,2.29889,-0.131305,0,1,0,1,0.0102665,0.0896785,0.099945,0.791787,0.134518
45.378,2.45664,-0.14261,0,1,0,1,0.113869,0.0382714,0.152141,0.708905,0.0574071
45.588,2.60655,-0.14908,0,1,0,1,0.155229,0.0134928,0.168722,0.675816,-0.0202393
45.785,2.74462,-0.151548,0,1,0,1,0.257972,0.0143311,0.272303,0.593622,-0.0214967
45.996,2.87386,-0.152869,0,1,0,1,0.275188,0.000931722,0.27612,0.579849,0.00139758
46.197,2.99162,-0.152603,0,1,0,1,0.328175,0.000449178,0.328624,0.53746,0.000673767
46.392,3.10405,-0.152044,0,1,0,1,0.364953,0.0506202,0.415573,0.508038,0.0759303
46.597,3.19158,-0.151198,0,1,0,1,0.41656,0.0382664,0.454826,0.466752,-0.0573996
46.794,3.29171,-0.148814,0,1,0,1,0.494557,0.00641392,0.500971,0.404354,0.00962088
46.996,3.38306,-0.146227,0,1,0,1,0.529686,0.00874161,0.538428,0.376251,-0.0131124
47.195,3.47532,-0.143455,0,1,0,1,0.527528,0.0332776,0.560806,0.377977,0.0499165
47.395,3.55058,-0.141093,0,1,0,1,0.571732,0.019308,0.59104,0.342614,0.0289621
47.593,3.62335,-0.138295,0,1,0,1,0.62251,0.0155171,0.638027,0.301992,-0.0232756
47.793,3.68712,-0.135581,0,1,0,1,0.127592,0.0138041,0.141396,0.102073,-0.0207061
47.991,3.73925,-0.133346,0,1,0,1,0,0,0,0,0
48.181,3.75679,-0.1324,0,1,0,1,0,0,0,0,0
48.382,3.75942,-0.132196,0,1,0,1,0,0,0,0,0
48.579,3.75984,-0.132157,0,1,0,1,0,0,0,0,0
48.777,3.75986,-0.132154,0,1,0,1,0,0,0,0,0
48.977,3.75969,-0.132173,0,1,0,1,0,0,0,0,0
49.177,3.75891,-0.132242,0,1,0,1,0,0,0,0,0
49.376,3.75792,-0.132324,0,1,0,1,0,0,0,0,0
49.584,3.75777,-0.13233,0,1,0,1,0,0,0,0,0
49.779,3.7579,-0.132323,0,1,0,1,0,0,0,0,0
49.978,3.75763,-0.132344,0,1,0,1,0,0,0,0,0
